month,flow,value_omr_mn
2012-08,re_exports,203.3
2012-09,exports,1686.5
2012-09,imports,893.7
2012-09,re_exports,537.7
2012-10,exports,1709.9
2012-10,imports,991.9
2012-10,re_exports,177.7
2012-11,exports,1846.7
2012-11,imports,893.8
2012-11,re_exports,199.3
2012-12,exports,1860.7
2012-12,imports,999.5
2012-12,re_exports,228.1
2013-01,exports,1909.9
2013-01,imports,1012.2
2013-02,exports,1869.7
2013-02,imports,1057.4
2013-03,exports,1800.0
2013-03,imports,1166.8
2013-03,re_exports,255.3
2013-04,exports,1866.7
2013-04,imports,1154.8
2013-04,re_exports,394.3
2013-05,exports,1929.0
2013-05,imports,1076.3
2013-05,re_exports,244.0
2013-06,exports,1767.8
2013-06,imports,1053.8
2013-06,re_exports,290.5
2013-07,exports,1722.3
2013-07,imports,1056.6
2013-07,re_exports,221.7
2013-08,exports,1567.4
2013-08,imports,1107.8
2013-08,re_exports,191.3
2013-09,exports,1943.7
2013-09,imports,1392.1
2013-09,re_exports,290.1
2013-10,exports,1702.2
2013-10,imports,1005.6
2013-10,re_exports,218.3
2013-11,exports,1838.0
2013-11,imports,1021.7
2013-11,re_exports,355.6
2013-12,exports,1851.6
2013-12,imports,1178.0
2013-12,re_exports,291.3
2014-01,exports,1752.2
2014-01,imports,943.1
2014-01,re_exports,249.7
2014-02,exports,1639.5
2014-02,imports,904.8
2014-02,re_exports,230.0
2014-03,exports,1752.3
2014-03,imports,945.8
2014-03,re_exports,280.9
2014-04,exports,1536.2
2014-04,imports,922.8
2014-04,re_exports,278.9
2014-05,exports,1658.0
2014-05,imports,905.0
2014-05,re_exports,240.1
2014-06,exports,1669.4
2014-06,imports,965.4
2014-06,re_exports,283.5
2014-07,exports,1694.8
2014-07,imports,947.9
2014-07,re_exports,218.3
2014-08,exports,1805.1
2014-08,imports,945.2
2014-08,re_exports,231.0
2014-09,exports,1916.8
2014-09,imports,942.5
2014-09,re_exports,241.3
2014-10,exports,1581.5
2014-10,imports,945.0
2014-10,re_exports,195.3
2014-11,exports,1748.0
2014-11,imports,956.3
2014-11,re_exports,283.9
2014-12,exports,1580.0
2014-12,imports,946.0
2014-12,re_exports,216.8
2015-01,exports,1330.6
2015-01,imports,889.7
2015-01,re_exports,156.8
2015-02,exports,1212.3
2015-02,imports,883.1
2015-02,re_exports,193.2
