quarter,group,index
2025Q1,mining_quarrying,123.303261985592
2025Q1,water,101.554258782104
2025Q2,electrical_energy,119.029534865728
2025Q2,general_nonoil,104.36301113301
2025Q2,manufacturing,99.2030294240621
2025Q2,mining_quarrying,118.106440500882
2025Q2,water,95.6461573180785
2025Q3,electrical_energy,122.130775433458
2025Q3,general_nonoil,106.598567273411
2025Q3,manufacturing,101.783916381685
2025Q3,mining_quarrying,113.925627622712
2025Q3,water,102.320927265137
2025Q4,electrical_energy,112.637240938375
2025Q4,general_nonoil,104.447236558875
2025Q4,manufacturing,100.09975687705
2025Q4,mining_quarrying,113.379663548126
2025Q4,water,112.824453580827
2026Q1,electrical_energy,104.310724459607
2026Q1,general_nonoil,108.820388005394
2026Q1,manufacturing,113.85989932529
2026Q1,mining_quarrying,109.362580912664
2026Q1,water,97.1557669322018
